ID,query,urls,affect,commas,dashes,differentiation,exclamations,hear,i,other_punctuation,periods,personal_concerns,power,relativity,semicolons,social,ambifeel_score,Class
120,0.009,0,0.03458009880028230,0.06986591390261120,0,0.028228652081863100,0,0.008468595624558930,0.0014114326040931500,0.004234297812279460,0.051517290049400100,0.051517290049400100,0.04022582921665490,0.16937191249117900,0,0.07833450952717010,0.020968157932559300,0
121,0.005,0,0.047619047619047600,0.05654761904761910,0,0.02976190476190480,0,0.011904761904761900,0,0.002976190476190480,0.05654761904761910,0.10714285714285700,0.06845238095238100,0.09523809523809520,0,0.07738095238095240,0.025510204081632700,0
122,0.009,0,0.02027027027027030,0.060810810810810800,0,0.02027027027027030,0.006756756756756760,0.033783783783783800,0.02027027027027030,0.033783783783783800,0.0472972972972973,0.060810810810810800,0.06756756756756760,0.18243243243243200,0,0.16891891891891900,0.013357376611233600,0
123,0.02,0,0.010666666666666700,0.06133333333333330,0,0.008,0,0.029333333333333300,0,0,0.06133333333333330,0.08,0.11733333333333300,0.17333333333333300,0,0.104,0.02702702702702700,0
124,0.104,0,0.05263157894736840,0.02756892230576440,0.005012531328320800,0.03258145363408520,0.005012531328320800,0,0,0.005012531328320800,0.08020050125313280,0.017543859649122800,0.010025062656641600,0.11027568922305800,0,0.11278195488721800,0.027090045375826000,1
125,0.003,0,0.04395604395604400,0.04395604395604400,0.005494505494505500,0.016483516483516500,0.013736263736263700,0.008241758241758240,0,0.0027472527472527500,0.038461538461538500,0.07417582417582420,0.04945054945054950,0.1565934065934070,0,0.08241758241758240,0.036235055631061300,1
126,0.003,0,0.03353658536585370,0.041158536585365900,0.009908536585365850,0.02972560975609760,0.0007621951219512200,0.007621951219512200,0,0.011432926829268300,0.04801829268292680,0.054115853658536600,0.039634146341463400,0.16996951219512200,0.0022865853658536600,0.038109756097561000,0.00916911282465982,1
127,0.02,0,0.037866449511400700,0.07614006514657980,0,0.015879478827361600,0.00040716612377850200,0.03257328990228010,0.004071661237785020,0.009364820846905540,0.06555374592833880,0.10830618892508100,0.0500814332247557,0.15553745928338800,0,0.14332247557003300,0.031091448809405900,0
128,0.003,0,0.04416839199447900,0.057971014492753600,0,0.017943409247757100,0,0.010351966873706000,0.003450655624568670,0.00759144237405107,0.053830227743271200,0.05866114561766740,0.10835058661145600,0.11249137336093900,0,0.10628019323671500,0.02869802787152470,0
129,0.011,0,0.062146892655367200,0.02824858757062150,0,0.005649717514124290,0.03389830508474580,0,0.01694915254237290,0.011299435028248600,0.01694915254237290,0.062146892655367200,0.05084745762711870,0.15254237288135600,0,0.06779661016949150,0.08983422216710080,1
