,confidence,happy,angry,bored,fear,sad,excited,spam,news,feedback,marketing,Class
39,76,0.300337784,0.034194092999999995,0.0,0.147851934,0.059105129000000006,0.45851106,0.16399999999999998,0.37,0.275,0.174,0
40,86,0.228651002,0.129615628,0.13603084699999998,0.13185142800000002,0.042146450999999995,0.331704645,0.040999999999999995,0.106,0.069,0.77,0
41,86,0.023195277,0.593705505,0.043094805,0.107283437,0.21082763699999998,0.021893338999999998,0.051,0.581,0.14,0.046,1
42,76,0.133164235,0.26128229199999997,0.048773625,0.164201075,0.11199157800000001,0.28058719600000004,0.05,0.716,0.12300000000000001,0.059000000000000004,0
43,86,0.087820921,0.357512923,0.072479869,0.206329961,0.147949175,0.127907151,0.02,0.872,0.039,0.027000000000000003,0
44,86,0.243411087,0.22652603600000001,0.0,0.169451926,0.118779135,0.241831817,0.20800000000000002,0.6579999999999999,0.09,0.034,0
45,74,0.28551233,0.072540207,0.020430689,0.10081369400000001,0.046144370999999997,0.47455870899999997,0.016,0.91,0.054000000000000006,0.018000000000000002,0
46,86,0.256763793,0.163477862,0.04360783,0.163799694,0.124325246,0.24802557600000003,0.10400000000000001,0.324,0.262,0.14800000000000002,0
47,86,0.267206324,0.16969757300000002,0.041051573,0.127290756,0.084480175,0.3102736,0.18,0.384,0.324,0.062,0
48,86,0.285941207,0.059803877000000005,0.016903078999999998,0.196180816,0.09711646,0.34405456100000004,0.13,0.55,0.239,0.051,0
49,86,0.163129709,0.215152218,0.080128225,0.167149051,0.096288838,0.27815196,0.01,0.935,0.008,0.047,0
50,86,0.045321766,0.279812654,0.135292802,0.196675762,0.229678368,0.11321864699999999,0.09300000000000001,0.5329999999999999,0.316,0.013999999999999999,0
51,86,0.11909047099999999,0.18553265,0.084707029,0.24706935,0.17421174399999997,0.189388757,0.018000000000000002,0.92,0.043,0.013000000000000001,0
52,92,0.298309586,0.15221199900000001,0.031001115,0.125096374,0.03911941,0.354261516,0.036000000000000004,0.601,0.069,0.287,1
53,86,0.17047223399999997,0.257136095,0.07996987,0.157624822,0.11235894,0.22243803899999998,0.052000000000000005,0.157,0.081,0.027000000000000003,1
54,86,0.125423378,0.34616269,0.01706787,0.082744645,0.301497736,0.127103681,0.036000000000000004,0.855,0.055,0.032,1
55,86,0.02172062,0.260211643,0.27846018300000003,0.162723236,0.236928152,0.039956166,0.136,0.305,0.38,0.018000000000000002,0
56,86,0.164247057,0.258650698,0.116304895,0.221128888,0.10826172199999999,0.13140674,0.054000000000000006,0.366,0.231,0.233,0
57,76,0.234373969,0.12272305800000001,0.040881608,0.19788836399999998,0.130332851,0.273800151,0.07,0.775,0.095,0.054000000000000006,0
58,84,0.111622485,0.17749991,0.028622022,0.226628599,0.288563311,0.167063673,0.021,0.871,0.045,0.049,0
59,76,0.263335219,0.122924185,0.077693388,0.166149979,0.105659201,0.264238027,0.139,0.465,0.225,0.16,0
60,86,0.250199138,0.16964552100000002,0.087236035,0.115484424,0.11390215699999999,0.263532726,0.023,0.763,0.094,0.09300000000000001,0
61,86,0.066552406,0.425252996,0.065961331,0.145883743,0.18020678199999998,0.116142742,0.009000000000000001,0.888,0.042,0.019,1
62,86,0.34249017,0.128013616,0.053871657,0.18525832,0.09771568800000001,0.19265054899999998,0.07200000000000001,0.6409999999999999,0.16399999999999998,0.061,0
63,86,0.27665428,0.13214252699999998,0.075213223,0.184611403,0.100516632,0.230861934,0.08199999999999999,0.46399999999999997,0.217,0.159,0
64,83,0.222812509,0.192166378,0.048962482,0.152830744,0.137516728,0.24571116,0.073,0.7440000000000001,0.063,0.114,0
65,73,0.09776447199999999,0.31792756899999997,0.10695803699999999,0.146059721,0.21284615,0.118444051,0.087,0.217,0.322,0.049,0
66,86,0.11967221,0.077130763,0.415598139,0.111930596,0.16034959099999999,0.11531870300000001,0.24100000000000002,0.213,0.23199999999999998,0.079,0
67,100,0.10003388099999999,0.429541254,0.02545299,0.19114635600000002,0.14741706699999998,0.10640845199999999,0.048,0.136,0.11599999999999999,0.094,1
68,86,0.21765274699999998,0.142038138,0.0,0.199400418,0.261988127,0.17892057,0.11800000000000001,0.316,0.14400000000000002,0.179,0
69,86,0.18479164,0.200351511,0.060482299999999996,0.16432174,0.163261337,0.226791472,0.18899999999999997,0.483,0.217,0.091,0
70,86,0.059779161,0.30624656100000003,0.11676143800000001,0.20961518699999998,0.198064143,0.10953351,0.048,0.795,0.134,0.012,0
71,86,0.08475461,0.323909917,0.158812041,0.13860351199999998,0.21113746100000003,0.082782459,0.11,0.45299999999999996,0.28300000000000003,0.073,0
72,86,0.157009054,0.25397868,0.10543754,0.140885032,0.13672632699999998,0.20596336699999998,0.065,0.735,0.14400000000000002,0.038,0
