@relation Training-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute query numeric
@attribute urls numeric
@attribute affect numeric
@attribute commas numeric
@attribute dashes numeric
@attribute differentiation numeric
@attribute exclamations numeric
@attribute hear numeric
@attribute i numeric
@attribute other_punctuation numeric
@attribute periods numeric
@attribute personal_concerns numeric
@attribute power numeric
@attribute relativity numeric
@attribute semicolons numeric
@attribute social numeric
@attribute ambifeel_score numeric
@attribute Class {0,1}

@data
64,0.052,0,0.025694,0.087359,0,0.015416,0,0.033916,0.001028,0.006166,0.047276,0.08222,0.02261,0.178828,0,0.120247,0.051459,0
65,0.015,0,0.005464,0.032787,0,0.005464,0,0,0,0.010929,0.065574,0.054645,0.054645,0.147541,0,0.081967,0,0
66,0.018,0,0.013889,0.044444,0,0.013889,0,0.002778,0,0.013889,0.030556,0.080556,0.025,0.172222,0,0.088889,0.012971,0
67,0.086,0,0.030989,0.070322,0,0.02503,0,0.015495,0.001192,0.022646,0.079857,0.082241,0.053635,0.190703,0,0.058403,0.024424,0
68,0.055,0,0.033898,0.00565,0.00565,0.016949,0.016949,0.011299,0,0.011299,0.107345,0.056497,0.062147,0.107345,0,0.124294,0.029314,1
69,0.103,0,0.033951,0.061728,0,0.018519,0,0.018519,0.003086,0.003086,0.055556,0.135802,0.080247,0.114198,0,0.095679,0.031878,0
70,0.036,0,0.026846,0.050336,0,0.030201,0,0.006711,0.003356,0.030201,0.050336,0.107383,0.020134,0.087248,0,0.124161,0,0
71,0.03,0,0.033015,0.046047,0,0.018245,0,0.011295,0.005213,0.007819,0.073849,0.084275,0.059948,0.125977,0,0.085143,0.042662,0
72,0.045,0,0.060606,0.040404,0,0.010101,0,0.020202,0.010101,0.010101,0.050505,0.070707,0.010101,0.131313,0,0.070707,0,0
73,0.036,0,0.072445,0.072445,0,0.023286,0,0.018111,0.018111,0.002587,0.062096,0.049159,0.020699,0.113842,0,0.113842,0.046512,0
74,0.374,0,0.053525,0.036554,0,0.027415,0.001305,0.005222,0,0.005222,0.046997,0.058747,0.050914,0.146214,0,0.109661,0.025768,1
75,0.037,0,0.031669,0.031669,0,0.017052,0,0.004872,0,0.009744,0.045067,0.073082,0.045067,0.129111,0,0.052375,0.020384,0
76,0.099,0,0.032854,0.047228,0.004107,0.004107,0,0.010267,0,0.028747,0.024641,0.049281,0.049281,0.119097,0,0.086242,0.050718,1
77,0.028,0,0.034072,0.057922,0,0.013629,0,0.013629,0,0.004259,0.063884,0.107325,0.085179,0.151618,0,0.091141,0.025454,0
78,0.023,0,0.046154,0.024615,0,0.018462,0,0.018462,0,0.04,0.046154,0.067692,0.061538,0.187692,0,0.095385,0.009545,0
79,0.018,0,0.042194,0.044304,0.008439,0.006329,0,0.004219,0,0.004219,0.048523,0.067511,0.040084,0.137131,0,0.105485,0.014114,1
80,0.009,0,0.045455,0.029545,0.002273,0.022727,0,0.009091,0.006818,0.011364,0.025,0.075,0.036364,0.175,0,0.088636,0.0082,1
81,0.109,0,0.050633,0.037975,0,0.025316,0,0.063291,0,0.012658,0.063291,0.088608,0.012658,0.164557,0,0.126582,0,0
82,0.009,0,0.053746,0.04886,0,0.006515,0.001629,0.011401,0,0.027687,0.042345,0.061889,0.094463,0.112378,0,0.099349,0.028127,0
83,0.002,0,0,0.03125,0,0,0,0,0,0.65625,0,0.0625,0,0,0,0,0,1
84,0.017,0,0.031219,0.069486,0,0.020141,0,0.011078,0.005035,0.009063,0.074522,0.049345,0.053374,0.108761,0,0.127895,0.018213,0
85,0.013,0,0.040126,0.060582,0,0.033832,0,0.01967,0.006294,0.004721,0.082612,0.038552,0.067663,0.150275,0,0.120378,0.010586,0
86,0.275,0.007092,0.047281,0.032309,0.014972,0.022065,0,0.002364,0,0.005516,0.044129,0.047281,0.056738,0.107171,0,0.042553,0.029071,1
87,0.064,0,0.010309,0.04811,0,0,0,0,0.003436,0,0.034364,0.017182,0,0,0,0.010309,0,1
88,0.053,0,0.03072,0.086864,0,0.013771,0.001059,0.009534,0.008475,0.003178,0.042373,0.054025,0.03072,0.134534,0,0.106992,0.025762,0
89,0.035,0,0.054651,0.060465,0,0.020349,0,0.019186,0.024419,0.010465,0.070349,0.039535,0.037209,0.123256,0,0.128488,0.016505,0
90,0.011,0,0.049711,0.056647,0,0.017341,0.001156,0.018497,0.002312,0.006936,0.095954,0.043931,0.079769,0.136416,0,0.16763,0.026102,0
91,0.016,0,0.041342,0.070983,0,0.019501,0,0.017941,0,0.00624,0.070983,0.054602,0.082683,0.148206,0,0.139626,0.025196,0
92,0.007,0,0.046875,0.064732,0.017857,0.03125,0,0,0,0.026786,0.051339,0.113839,0.089286,0.15625,0.002232,0.033482,0.028558,1
93,0.043,0,0.009091,0.054545,0.009091,0.027273,0,0,0,0.018182,0.027273,0.036364,0.027273,0.054545,0,0.136364,0,1
94,0.034,0,0.029625,0.055958,0,0.028308,0.000658,0.011192,0.075708,0.001975,0.080974,0.0474,0.015142,0.159315,0,0.180382,0.024977,0
95,0.034,0,0.03523,0.059621,0,0.01626,0,0.00271,0,0.01084,0.04878,0.03794,0.01084,0.176152,0,0.056911,0,0
96,0.007,0,0.040989,0.051838,0,0.020494,0,0.011453,0.004822,0.001808,0.077155,0.07173,0.077758,0.14346,0,0.147077,0.015319,0
97,0.042,0,0.067633,0.065217,0,0.031401,0,0.031401,0,0.007246,0.033816,0.041063,0.067633,0.120773,0,0.07971,0.038649,0
98,0.082,0,0.03176,0.059891,0,0.024501,0,0.022686,0.00726,0.00363,0.058984,0.089837,0.053539,0.164247,0,0.129764,0.007518,0
99,0.097,0,0.05814,0.063953,0,0.023256,0.011628,0.005814,0,0.005814,0.023256,0.023256,0.011628,0.168605,0,0.168605,0,1
100,0.078,0,0.031695,0.06727,0,0.023933,0,0.01423,0.003881,0.007762,0.062096,0.094437,0.050453,0.122898,0,0.094437,0.017114,0
101,0.04,0,0.025,0.0125,0,0,0,0.025,0,0.0125,0.05,0.0875,0.0375,0.1375,0,0.125,0,0
102,0.204,0,0.057692,0.070769,0.004615,0.037692,0,0.007692,0,0.006923,0.064615,0.066154,0.051538,0.097692,0,0.147692,0.025663,1
103,0.174,0,0.027888,0.031873,0,0.01992,0.015936,0.003984,0,0.023904,0.051793,0.063745,0.035857,0.111554,0,0.123506,0.024433,1
104,0.047,0,0.043735,0.070922,0,0.016548,0,0.01182,0.010638,0.004728,0.053191,0.056738,0.039007,0.159574,0,0.08747,0.014533,0
105,0.047,0,0.035949,0.068391,0,0.019728,0.000877,0.007014,0.031565,0.005261,0.04954,0.067953,0.020167,0.159141,0,0.089873,0.009105,0
106,0.109,0,0.063745,0.051793,0.007968,0.015936,0,0.007968,0,0.003984,0.035857,0.067729,0.071713,0.12749,0,0.075697,0.03802,1
107,0.185,0,0.034258,0.055465,0,0.026101,0,0.016313,0.004894,0.004894,0.06199,0.065253,0.055465,0.141925,0,0.071778,0.011396,0
108,0.067,0,0.043038,0.052321,0,0.042194,0,0.000844,0,0.003376,0.083544,0.021097,0.07173,0.183122,0,0.063291,0.025812,0
109,0.084,0,0.069486,0.081571,0,0.024169,0,0.024169,0,0.012085,0.048338,0.039275,0.045317,0.169184,0,0.117825,0.003442,0
110,0.045,0,0.051051,0.054054,0,0.03003,0,0.009009,0,0.025526,0.043544,0.070571,0.045045,0.12012,0,0.088589,0.022653,0
111,0.013,0,0.053254,0.059172,0.011834,0.021302,0.00355,0.001183,0,0.001183,0.049704,0.08284,0.040237,0.11716,0,0.04497,0.010409,1
112,0.053,0,0.033505,0.082474,0,0.021649,0.000515,0.015464,0.020619,0.006186,0.075258,0.091237,0.027835,0.13299,0,0.128351,0.025782,0
113,0.005,0,0.031348,0.050157,0,0.018809,0,0.00627,0,0.009404,0.040752,0.166144,0.094044,0.109718,0,0.053292,0,0
114,0.002,0.000298,0.009524,0.09256,0.019345,0,0.009821,0.000893,0.000298,0.008631,0.026488,0.029762,0.014881,0.006548,0.00744,0.007143,0,1
115,0.019,0,0.053867,0.055249,0,0.01174,0,0.01105,0.000691,0.004834,0.055249,0.09047,0.074586,0.145718,0,0.087017,0.015876,0
116,0.019,0,0.053763,0.055028,0.00759,0.02783,0.000633,0.01012,0.008855,0.011385,0.053131,0.042378,0.032891,0.13852,0.003163,0.125237,0.028293,1
117,0.043,0,0.018947,0.067368,0,0.012632,0,0.006316,0,0,0.048421,0.050526,0.061053,0.166316,0,0.067368,0.005947,0
118,0.024,0,0.051724,0.067398,0,0.025078,0,0.007837,0.010972,0.004702,0.083072,0.067398,0.106583,0.141066,0,0.141066,0.013345,0
119,0.009,0,0.075,0.05625,0.007813,0.021875,0,0.003125,0.001563,0.020313,0.039063,0.054688,0.046875,0.110937,0,0.05625,0.02763,1
120,0.009,0,0.03458,0.069866,0,0.028229,0,0.008469,0.001411,0.004234,0.051517,0.051517,0.040226,0.169372,0,0.078335,0.020968,0
121,0.005,0,0.047619,0.056548,0,0.029762,0,0.011905,0,0.002976,0.056548,0.107143,0.068452,0.095238,0,0.077381,0.02551,0
122,0.009,0,0.02027,0.060811,0,0.02027,0.006757,0.033784,0.02027,0.033784,0.047297,0.060811,0.067568,0.182432,0,0.168919,0.013357,0
123,0.02,0,0.010667,0.061333,0,0.008,0,0.029333,0,0,0.061333,0.08,0.117333,0.173333,0,0.104,0.027027,0
124,0.104,0,0.052632,0.027569,0.005013,0.032581,0.005013,0,0,0.005013,0.080201,0.017544,0.010025,0.110276,0,0.112782,0.02709,1
125,0.003,0,0.043956,0.043956,0.005495,0.016484,0.013736,0.008242,0,0.002747,0.038462,0.074176,0.049451,0.156593,0,0.082418,0.036235,1
126,0.003,0,0.033537,0.041159,0.009909,0.029726,0.000762,0.007622,0,0.011433,0.048018,0.054116,0.039634,0.16997,0.002287,0.03811,0.009169,1
127,0.02,0,0.037866,0.07614,0,0.015879,0.000407,0.032573,0.004072,0.009365,0.065554,0.108306,0.050081,0.155537,0,0.143322,0.031091,0
128,0.003,0,0.044168,0.057971,0,0.017943,0,0.010352,0.003451,0.007591,0.05383,0.058661,0.108351,0.112491,0,0.10628,0.028698,0
129,0.011,0,0.062147,0.028249,0,0.00565,0.033898,0,0.016949,0.011299,0.016949,0.062147,0.050847,0.152542,0,0.067797,0.089834,1
130,0.05,0,0.035398,0.056637,0,0.024779,0,0.012389,0.00885,0.00885,0.053097,0.069027,0.046018,0.146903,0,0.076106,0.012323,0
131,0.056,0,0.04382,0.044382,0.014607,0.011236,0,0.001124,0.000562,0.007865,0.044382,0.058989,0.054494,0.146067,0,0.053933,0.019825,1
132,0.018,0,0.058688,0.054085,0,0.01611,0,0.01611,0.001151,0.002301,0.047181,0.09206,0.085155,0.141542,0,0.082854,0.010891,0
133,0.06,0,0.008621,0.017241,0,0,0,0.017241,0.008621,0.008621,0.060345,0.060345,0.060345,0.12069,0,0.068966,0.051852,0
134,0.01,0,0.038144,0.068023,0,0.025429,0,0.010807,0.001907,0.005086,0.068023,0.08328,0.069294,0.120153,0,0.088366,0.019199,0
135,0.081,0,0.044321,0.065097,0,0.024931,0.001385,0.022853,0.003463,0.00277,0.058172,0.112881,0.061634,0.112881,0,0.094183,0.040552,0
136,0.022,0,0.032006,0.066856,0,0.029161,0,0.012091,0.002134,0.010669,0.046942,0.073257,0.046942,0.106686,0,0.066145,0.010568,0
137,0.018,0,0.057661,0.074959,0,0.028007,0,0.021417,0.007414,0.010708,0.087315,0.041186,0.071664,0.116969,0,0.15486,0.018788,0
138,0.058,0,0.038498,0.039437,0,0.015962,0,0.004695,0.001878,0.0723,0.059155,0.0723,0.038498,0.158685,0,0.06385,0.003904,0
139,0.027,0,0.029883,0.055496,0,0.01921,0.002134,0.005336,0.001067,0.048026,0.059765,0.073639,0.037353,0.11206,0,0.076841,0.000862,0
140,0.057,0,0.034483,0.05931,0.024828,0.037241,0,0,0.012414,0.008276,0.044138,0.064828,0.044138,0.114483,0,0.08,0.056742,1
141,0.006,0,0.019504,0.037234,0,0.012411,0,0.015957,0,0.003546,0.051418,0.111702,0.076241,0.150709,0,0.06383,0,0
142,0.076,0,0.052799,0.041985,0.009542,0.031807,0.001908,0.003181,0.015903,0.016539,0.047074,0.041349,0.021628,0.132952,0,0.102417,0.017281,1
143,0.025,0,0.013655,0.061975,0.004202,0,0.018908,0.00105,0.013655,0.009454,0.07458,0.014706,0.006303,0.002101,0.00105,0.017857,0,1
144,0.02,0,0.0825,0.0425,0.014167,0.023333,0,0.003333,0.000833,0.0025,0.041667,0.1125,0.050833,0.0925,0,0.1025,0.021571,1
145,0.011,0,0.042725,0.053118,0.013857,0.016166,0,0.003464,0,0.005774,0.046189,0.084296,0.049654,0.116628,0,0.057737,0.010756,1
146,0.222,0,0.036522,0.057391,0,0.010435,0,0.02087,0,0.001739,0.043478,0.046957,0.05913,0.16,0,0.064348,0.007376,0
147,0.002,0,0.034934,0.034934,0,0.061135,0,0.004367,0.008734,0.0131,0.078603,0.065502,0.026201,0.113537,0,0.069869,0.007663,0
148,0.154,0,0.083784,0.048649,0,0.018919,0.013514,0.021622,0,0,0.032432,0.048649,0.035135,0.102703,0,0.156757,0.036861,1
149,0.052,0,0.017188,0.046875,0,0.020313,0,0.009375,0.021875,0.009375,0.071875,0.051562,0.04375,0.142187,0,0.125,0.005565,0
150,0.121,0,0.02765,0.02765,0.013825,0.009217,0,0.009217,0,0,0.0553,0.064516,0.036866,0.142857,0,0.046083,0.01768,1
